smiles,DSSTox_CID,Formula,FW,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
FC(F)(F)c1ccc(Cl)c(Cl)c1,7142,C7H3Cl2F3,214.9999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC(=O)c1ccc(C=O)cc1,5610,C9H8O3,164.158,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,9117,C18H14,230.3038,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,6098,C6HCl4NO2,260.8896,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],17028,C19H42BrN,364.4475 (284.5429+79.9045),0.0,,0.0,,,0.0,,,0.0,,1.0,
O=C(O)CCSSCCC(=O)O,12998,C6H10O4S2,210.2712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP(=S)(OC)Oc1ccc(SC)c(C)c1,620,C10H15O3PS2,278.3281,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,266,C6Cl4O2,245.875,0.0,,1.0,,,1.0,,,0.0,1.0,,1.0
CC(=O)N(C)C,499,C4H9NO,87.1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,3067,C17H18F3NO,309.3261,0.0,0.0,0.0,,,0.0,,,0.0,,,
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],13307,C21H38BrN,384.4371 (304.5326+79.9045),0.0,,0.0,1.0,,,,1.0,,,,
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C.Cl,20693,C9H18ClNO4,239.6965 (36.4609+203.2356),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1nc(N)nc(N)n1,802,C3H6N6,126.1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)c1cccc([N+](=O)[O-])c1,5737,C7H5NO4,167.1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(Cl)CSC(=S)N(CC)CC,1289,C8H14ClNS2,223.7865,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0
O=C(O)Cc1nn(Cc2ccc(Br)cc2F)c(=O)c2ccccc12,25665,C17H12BrFN2O3,391.1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
Cc1ccc(S(=O)(=O)N=C=O)cc1,7558,C8H7NO3S,197.2111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1ccc2c(c1)Nc1ccccc1S2,1126,C12H9NS,199.2716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,1.0,0.0
[Cl-].c1ccc(C[n+]2cccc3ccccc32)cc1,24593,C16H14ClN,255.7421 (220.2885+35.4535),0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0
Cn1nnc2c(C(N)=O)ncn2c1=O,23714,C6H6N6O2,194.1508,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],6900,C15H34ClN,263.8902 (228.4366+35.4535),0.0,,,1.0,,0.0,,1.0,,0.0,,
CN/C(=N\C#N)NCCSCc1nc[nH]c1C,329,C10H16N6S,252.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC[C@@H](O)[C@H]1O[C@@H]2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,88,C8H11Cl3O6,309.5283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1c[nH]c2ccccc12,1775,C9H9N,131.1745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CN[C@@]1(c2ccccc2Cl)CCCCC1=O,28673,C13H16ClNO,237.7252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,3064,C15H14FN3O3,303.2884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCOC(CN1CCN(CC(C)C(=O)c2ccccc2)CC1)c1ccccc1.Cl.Cl,26631,C24H34Cl2N2O2,453.4450 (380.5231+36.4609+36.4609),0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,25700,C15H12N2,220.2692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,2927,C10H12N4O3,236.2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,25281,C13H13N3O5S2,355.3894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CC1=CC[C@@H]2C[C@H]1C2(C)C,21671,C10H16,136.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
