smiles,DSSTox_CID,Formula,FW,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Compound ID,Sample ID,Stoichiometry,Alt ID,PUBCHEM_SID
C[C@]12C=CC(=O)C=C1CC[C@@H]1C2=CC[C@]2(C)[C@@H](C(=O)CN3CCN(c4cc(N5CCCC5)nc(N5CCCC5)n4)CC3)CC[C@@H]12.O=C(O)/C=C\C(=O)O,,,,,,,,,,,,,,,,NCGC00261900,NCGC00261900-01,0,U 5882,
Nc1ncnc2c1nc(Br)n2C1OC2CO[P@@](=O)([O-])O[C@@H]2C1O.[Na+],,,,,,,,,,,,,,,,NCGC00260869,NCGC00260869-01,0,B 7880,
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,,,,,,,,,,,,,,,,NCGC00261776,NCGC00261776-01,0,R 3277,
Cl.Fc1ccc(C(OCCCc2c[nH]cn2)c2ccc(F)cc2)cc1,,,,,,,,,,,,,,,,NCGC00261380,NCGC00261380-01,0,I-160,
Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1,,,,,,,,,,,,,,,,NCGC00261842,NCGC00261842-01,0,T 4376,
Cl.Nc1ccc(-c2ccc3ccccc3n2)cc1,,,,,,,,,,,,,,,,NCGC00261662,NCGC00261662-01,0,B 4311,
O=C1NC(=O)/C(=C/c2ccc3c(c2)OC(F)(F)O3)S1,,,,,,,,,,,,,,,,NCGC00261190,NCGC00261190-01,0,A 0231,
CCc1ccc(/C=C2/SC(=S)NC2=O)cc1,,,,,,,,,,,,,,,,NCGC00260731,NCGC00260731-01,0,F3680,
C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,,,,,,,,,,,,,,,,NCGC00261926,NCGC00261926-01,0,P0115,
CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21,,,,,,,,,,,,,,,,NCGC00261579,NCGC00261579-01,0,T 5575,
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,,,,,,,,,,,,,,,,NCGC00260921,NCGC00260921-01,0,D 3943,
