target,fingerprint,model,resampling,optimized_for,best_params,val_selection,val_n,val_accuracy,val_f1_weighted,val_f1_macro,val_roc_auc,val_pr_auc,final_train_accuracy,final_train_f1_weighted,final_train_f1_macro,final_train_roc_auc,final_train_pr_auc,final_train_n,final_test_accuracy,final_test_f1_weighted,final_test_f1_macro,final_test_roc_auc,final_test_pr_auc,final_test_n,training_time,refit_time,run_date
NR-AR,atom_pair,BalancedRandomForest,none,f1_macro,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 20, 'n_estimators': 100}",0.5985703793918532,1421,0.9831104855735396,0.98118253920473,0.7956865564342199,0.8533627558194031,0.5985703793918532,0.8842561707805203,0.913088593913634,0.6179552294440497,0.8569843022968022,0.5896319643402655,5996.0,0.9031890660592256,0.9338632732710184,0.5074415074415075,0.6252607184241019,0.1106137930762563,878.0,0.7522909641265869,0.5950450897216797,2026-04-21T21:46:48.739886+00:00
NR-AR,atom_pair,BernoulliNB,random_over,f1_macro,{'alpha': 50.0},0.4943598910555815,1421,0.9781843771991556,0.9780388943853434,0.7820735441804321,0.8293430713950947,0.4943598910555815,0.7738218988218988,0.7717074006464384,0.7717074006464384,0.8069687811111927,0.8027545765097927,11544.0,0.8826879271070615,0.9223866049384196,0.4962539618878918,0.5847817690227888,0.0281294626165411,878.0,0.4072661399841308,0.3624191284179687,2026-04-21T14:01:06.048839+00:00
NR-AR,atom_pair,RandomForest,random_under,f1_macro,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 200}",0.5797113642225209,1421,0.984517945109078,0.9820797715328426,0.7996231155778895,0.8528745508514293,0.5797113642225209,0.8705357142857143,0.8644585388771436,0.8421423537702608,0.9013173628826532,0.88082078439038,672.0,0.9453302961275628,0.9570936688892516,0.5414544979762371,0.6197759752800309,0.0846422994893705,878.0,0.4433789253234863,0.3614451885223388,2026-04-21T16:05:07.905306+00:00
NR-AR,atom_pair,RandomForest,smote,f1_macro,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",0.3712931171011167,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.5512127011404468,0.3712931171011167,0.8233714483714484,0.8183410915309624,0.8183410915309624,0.9630922802700348,0.9665765158145856,11544.0,0.9760820045558086,0.9737247486212164,0.5739341421143848,0.5946697566628042,0.0795643552859586,878.0,1.138922929763794,1.0968561172485352,2026-04-21T16:05:07.905197+00:00
NR-AR,atom_pair,RandomForest,smoteenn,f1_macro,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",0.3728356669449187,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.5484689892204343,0.3728356669449187,0.8238414050952091,0.8186384005282001,0.8185222379132565,0.9661228020453017,0.9688142473387712,11501.0,0.9760820045558086,0.9737247486212164,0.5739341421143848,0.6155272305909618,0.0934959773835421,878.0,1.15805983543396,0.8370959758758545,2026-04-21T16:05:24.392997+00:00
NR-AR,atom_pair,LogisticRegression,smoten,f1_macro,"{'C': 0.001, 'l1_ratio': 1.0}",0.3789319524346747,1421,0.9831104855735396,0.98045065985401,0.7814070351758794,0.7151324011873145,0.3789319524346747,0.7778932778932779,0.7728746199334436,0.7728746199334435,0.7778932778932779,0.7488432902634086,11544.0,0.9362186788154896,0.9515999054454808,0.5168238993710692,0.5417535728080339,0.0207323040580443,878.0,0.2011561393737793,0.206317663192749,2026-04-21T08:28:35.638259+00:00
NR-AR,atom_pair,LogisticRegression,smoten_enn,f1_macro,"{'C': 0.001, 'l1_ratio': 1.0}",0.3789319524346747,1421,0.9831104855735396,0.98045065985401,0.7814070351758794,0.7151324011873145,0.3789319524346747,0.781751570132589,0.776877241998509,0.7766414824756998,0.7807340693848073,0.7495204720040821,11464.0,0.9362186788154896,0.9515999054454808,0.5168238993710692,0.5417535728080339,0.0207323040580443,878.0,0.1795039176940918,0.1916141510009765,2026-04-21T08:28:39.317202+00:00
NR-AR,avalon,BernoulliNB,none,f1_macro,{'alpha': 0.1},0.5932867844135828,1421,0.9859254046446164,0.9840245253868491,0.8239942528735632,0.8608908764255585,0.5932867844135828,0.8448965977318212,0.8884745697765043,0.5769145325292078,0.8062285757598258,0.1665600418043685,5996.0,0.8052391799544419,0.877143036930097,0.4733385951065509,0.5649285438393201,0.0304710068016981,878.0,0.0096569061279296,0.0028328895568847,2026-04-21T14:01:12.359505+00:00
NR-AR,avalon,BernoulliNB,random_over,f1_macro,{'alpha': 0.1},0.5919510994113907,1421,0.984517945109078,0.982750660937669,0.8127126767313684,0.8599925792844868,0.5919510994113907,0.7569300069300069,0.7550098452987084,0.7550098452987084,0.8041029194875349,0.7956362348711739,11544.0,0.7995444191343963,0.8736474972304296,0.4708307650160948,0.5647354190807261,0.0296480823540963,878.0,0.0764741897583007,0.0691587924957275,2026-04-21T14:01:12.933684+00:00
NR-AR,avalon,BernoulliNB,random_under,f1_macro,{'alpha': 10.0},0.5668787383192132,1421,0.984517945109078,0.982750660937669,0.8127126767313684,0.8659193875956883,0.5668787383192132,0.7901785714285714,0.7898213995575609,0.7631525665221033,0.8063865194515307,0.6749094865603061,672.0,0.7687927107061503,0.8544035446422817,0.4576932321950715,0.5565469293163383,0.0259941902548495,878.0,0.0215640068054199,0.0021719932556152,2026-04-21T14:01:14.168165+00:00
