target,fingerprint,model,resampling,optimized_for,best_params,val_selection,val_n,val_accuracy,val_f1_weighted,val_f1_macro,val_roc_auc,val_pr_auc,final_train_accuracy,final_train_f1_weighted,final_train_f1_macro,final_train_roc_auc,final_train_pr_auc,final_train_n,final_test_accuracy,final_test_f1_weighted,final_test_f1_macro,final_test_roc_auc,final_test_pr_auc,final_test_n,training_time,refit_time,run_date
NR-AR,atom_pair,BalancedRandomForest,none,pr_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",0.6268417696446029,1421,0.983814215341309,0.9806685337101376,0.7788955262249944,0.8815419465708483,0.6268417696446029,0.9359573048699132,0.9461122234285688,0.6990092051679457,0.9035893723393722,0.6550265091997354,5996.0,0.9533029612756264,0.961515914801506,0.5518344683341011,0.6463499420625725,0.1674393523369569,878.0,1.2416489124298096,1.4469590187072754,2026-04-21T21:46:48.739886+00:00
NR-AR,atom_pair,RandomForest,random_over,pr_auc,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",0.557208481816501,1421,0.983814215341309,0.9806685337101376,0.7788955262249944,0.8190517106702078,0.557208481816501,0.8301282051282052,0.8266508863712366,0.8266508863712366,0.9160778201838492,0.933243117358048,11544.0,0.9601366742596812,0.9653563519968796,0.562966650074664,0.6675164156044804,0.0951273179553258,878.0,0.3218069076538086,0.3843088150024414,2026-04-21T16:05:07.905610+00:00
NR-AR,atom_pair,RandomForest,random_under,pr_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 200}",0.635160538887505,1421,0.9831104855735396,0.9796042931590366,0.7649296939619521,0.8892555850648336,0.635160538887505,0.8824404761904762,0.8761934353221424,0.8553078061503994,0.9393136160714288,0.9289681689386649,672.0,0.9533029612756264,0.961515914801506,0.5518344683341011,0.6774816531479335,0.1313622654951511,878.0,0.4531998634338379,0.3424608707427978,2026-04-21T16:05:07.905306+00:00
NR-AR,atom_pair,LogisticRegression,smote,pr_auc,"{'C': 0.001, 'l1_ratio': 1.0}",0.4111747215195491,1421,0.9627023223082336,0.9650412954945964,0.6786233971281657,0.7084635213247931,0.4111747215195491,0.7577962577962578,0.7542951986956166,0.7542951986956166,0.7840949857581874,0.7838817816150744,11544.0,0.8963553530751709,0.9300572691445677,0.5035016747139937,0.5587485515643106,0.0285949621999934,878.0,0.2121200561523437,0.1513011455535888,2026-04-21T08:28:35.638562+00:00
NR-AR,atom_pair,LogisticRegression,smoteenn,pr_auc,"{'C': 0.001, 'l1_ratio': 1.0}",0.4111747215195491,1421,0.9627023223082336,0.9650412954945964,0.6786233971281657,0.7084635213247931,0.4111747215195491,0.7599339187896704,0.756505827879732,0.7563960677091235,0.7859940465325349,0.7847910574740682,11501.0,0.8963553530751709,0.9300572691445677,0.5035016747139937,0.5587485515643106,0.0285949621999934,878.0,0.4716589450836181,0.2867770195007324,2026-04-21T08:28:35.634476+00:00
NR-AR,atom_pair,RandomForest,smoten,pr_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",0.3841034859162587,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.545666692704265,0.3841034859162587,0.9093035343035344,0.90882881711583,0.90882881711583,0.9732830493615316,0.976840973557752,11544.0,0.9738041002277904,0.972371498807178,0.5674228305807253,0.6662804171494786,0.0911116333678095,878.0,1.1478848457336426,0.7141602039337158,2026-04-21T16:05:29.307416+00:00
NR-AR,atom_pair,RandomForest,smoten_enn,pr_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.3932933490068685,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.5444266520856116,0.3932933490068685,0.908496161898116,0.9079681733851784,0.907917221538333,0.9805220783787194,0.981529577834662,11464.0,0.9749430523917996,0.9730445624529656,0.5705646954201867,0.6831208960988799,0.1390415247823754,878.0,1.0109529495239258,0.9270200729370116,2026-04-21T16:06:03.541925+00:00
NR-AR,avalon,BernoulliNB,none,pr_auc,{'alpha': 0.1},0.5932867844135828,1421,0.9859254046446164,0.9840245253868491,0.8239942528735632,0.8608908764255585,0.5932867844135828,0.8448965977318212,0.8884745697765043,0.5769145325292078,0.8062285757598258,0.1665600418043685,5996.0,0.8052391799544419,0.877143036930097,0.4733385951065509,0.5649285438393201,0.0304710068016981,878.0,0.0096569061279296,0.0038416385650634,2026-04-21T14:01:12.359505+00:00
NR-AR,avalon,BernoulliNB,random_over,pr_auc,{'alpha': 50.0},0.5923042998401332,1421,0.984517945109078,0.982750660937669,0.8127126767313684,0.8613204967973754,0.5923042998401332,0.7542446292446292,0.7524201032711554,0.7524201032711554,0.8029831866890079,0.7942776531457922,11544.0,0.7961275626423691,0.8715401880714937,0.4693395191161624,0.562108922363847,0.0289630449695393,878.0,0.0630099773406982,0.1564462184906005,2026-04-21T14:01:12.933684+00:00
NR-AR,avalon,BernoulliNB,random_under,pr_auc,{'alpha': 0.1},0.5932146449858124,1421,0.983814215341309,0.9821273314349088,0.8073402066717362,0.8620235119512576,0.5932146449858124,0.7931547619047619,0.7923148587600415,0.7654379581289881,0.810546875,0.6872804414870408,672.0,0.7870159453302962,0.8658834921614399,0.4654063681326374,0.5585940517574353,0.0279078843039827,878.0,0.0132679939270019,0.0013008117675781,2026-04-21T14:01:14.168165+00:00
NR-AR,avalon,BernoulliNB,smote,pr_auc,{'alpha': 50.0},0.4860269921057477,1421,0.9831104855735396,0.9800433770368254,0.7734736170891121,0.7573133104202467,0.4860269921057477,0.7813582813582813,0.7764179175943882,0.7764179175943882,0.7897321898101524,0.819944336549784,11544.0,0.9271070615034168,0.9470689304426608,0.5238773089306897,0.5798764001544998,0.0351351216725961,878.0,0.0778658390045166,0.0639581680297851,2026-04-21T14:01:14.589050+00:00
NR-AR,avalon,BernoulliNB,smoteenn,pr_auc,{'alpha': 50.0},0.4914675681744822,1421,0.983814215341309,0.9806685337101376,0.7788955262249944,0.763113185439775,0.4914675681744822,0.790198141329125,0.7856576412653457,0.7852638078217242,0.7953514001836686,0.8224234647375817,11406.0,0.9271070615034168,0.9470689304426608,0.5238773089306897,0.579837775202781,0.0347698827312256,878.0,0.059838056564331,0.0584750175476074,2026-04-21T14:01:23.621257+00:00
NR-AR,avalon,BernoulliNB,smoten,pr_auc,{'alpha': 50.0},0.4619919788185377,1421,0.983814215341309,0.9802311712809514,0.7703894169634891,0.689413763474457,0.4619919788185377,0.7908870408870409,0.7859914286649001,0.7859914286649001,0.8422270523362,0.8483800132178873,11544.0,0.9373576309794988,0.9527021184322986,0.532956139078292,0.5475859405175744,0.035998477804035,878.0,0.0794329643249511,0.0546669960021972,2026-04-21T14:01:18.964004+00:00
NR-AR,avalon,BernoulliNB,smoten_enn,pr_auc,{'alpha': 50.0},0.4578458406836253,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.6740450710826433,0.4578458406836253,0.7974506722542344,0.7927586138888376,0.7925069540241858,0.8530721445188183,0.8557625302290595,11454.0,0.938496583143508,0.9533284802509993,0.5340801886792453,0.5448435689455389,0.0365332534833793,878.0,0.0863497257232666,0.0695059299468994,2026-04-21T14:01:26.718824+00:00
NR-AR,erg,BalancedRandomForest,none,pr_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.5897284031580764,1421,0.983814215341309,0.9821273314349088,0.8073402066717362,0.8542024683643182,0.5897284031580764,0.9066044029352902,0.927390028620517,0.6515080877075066,0.8792995433620434,0.6263753549458605,5996.0,0.9236902050113897,0.9455617453002132,0.5334047194130478,0.6202780996523755,0.0915302168726333,878.0,0.7459793090820312,0.394895076751709,2026-04-21T21:46:48.741387+00:00
NR-AR,erg,RandomForest,random_over,pr_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.5261324944237475,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.8137205124199344,0.5261324944237475,0.8566354816354816,0.8543470191196813,0.8543470191196811,0.9347592434910524,0.9525349344452688,11544.0,0.969248291571754,0.9697353733303088,0.5566900420757364,0.6609887987640015,0.0796930530699616,878.0,0.4448201656341553,0.3673951625823974,2026-04-21T16:07:40.099147+00:00
NR-AR,erg,RandomForest,random_under,pr_auc,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",0.5854640600108029,1421,0.9824067558057706,0.978987536641454,0.7596690502445591,0.8539486017809717,0.5854640600108029,0.8809523809523809,0.8766205941617885,0.8572141893399343,0.9331004862882654,0.9176229851413396,672.0,0.9430523917995444,0.9563288334985256,0.5542423134722392,0.6785245268443414,0.082631208656117,878.0,0.3808062076568603,0.3580658435821533,2026-04-21T16:07:44.738730+00:00
NR-AR,erg,RandomForest,smote,pr_auc,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.5096090158842241,1421,0.9817030260380014,0.976832728253348,0.7245138391791935,0.8031948133104202,0.5096090158842241,0.9563409563409564,0.9562858149822208,0.9562858149822208,0.990007769243736,0.9925631933741538,11544.0,0.9772209567198178,0.9754950567754234,0.6096042685638061,0.7052529934337581,0.1872995567689005,878.0,0.8505489826202393,0.5727732181549072,2026-04-21T16:07:57.470514+00:00
NR-AR,erg,RandomForest,smoteenn,pr_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",0.5164520778631773,1421,0.9817030260380014,0.976832728253348,0.7245138391791935,0.8374082174660211,0.5164520778631773,0.9055619418162524,0.9047149947946408,0.9045063652872208,0.9651138388496164,0.9730413056056516,11309.0,0.9738041002277904,0.972371498807178,0.5674228305807253,0.7023947470065662,0.1037994294393657,878.0,0.3938019275665283,0.3138079643249511,2026-04-21T16:07:59.117214+00:00
NR-AR,erg,LogisticRegression,smoten,pr_auc,"{'C': 0.01, 'l1_ratio': 1.0}",0.4464797262535353,1421,0.9655172413793104,0.9665772674486848,0.6810062443592316,0.7279526636463053,0.4464797262535353,0.748960498960499,0.7401471415457925,0.7401471415457925,0.7405486207461258,0.7859317146190419,11544.0,0.9259681093394078,0.9468262792351124,0.5354837659430729,0.5184627269215913,0.0609444142438655,878.0,0.0323820114135742,0.0314381122589111,2026-04-21T08:28:52.138718+00:00
NR-AR,erg,LogisticRegression,smoten_enn,pr_auc,"{'C': 0.01, 'l1_ratio': 1.0}",0.4340223575703316,1421,0.9655172413793104,0.9665772674486848,0.6810062443592316,0.7474027495703797,0.4340223575703316,0.7842293250297646,0.7776413648451312,0.7750386624965878,0.7828415108626883,0.7932410577029725,10919.0,0.9248291571753986,0.9461940359857204,0.5344345534595237,0.5617226728466589,0.0538324131836575,878.0,0.0296449661254882,0.0231070518493652,2026-04-21T08:28:52.542008+00:00
NR-AR,estate,RUSBoost,none,pr_auc,"{'learning_rate': 0.005, 'n_estimators': 50, 'sampling_strategy': 'auto'}",0.6149263383468293,1421,0.9831104855735396,0.9815124686249048,0.8021350661406359,0.896520074988283,0.6149263383468293,0.9169446297531688,0.9343053902259036,0.6725730557076087,0.9012945809820808,0.5625871750724651,5996.0,0.9316628701594531,0.949572418119816,0.5277030661646046,0.6642332947083815,0.0881484415441938,878.0,0.1554269790649414,0.1867890357971191,2026-04-29T18:00:31.294748+00:00
NR-AR,estate,DecisionTree,random_over,pr_auc,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10}",0.5122476354232569,1421,0.9831104855735396,0.9796042931590366,0.7649296939619521,0.806377909701609,0.5122476354232569,0.7768537768537769,0.7701604095918727,0.7701604095918726,0.8285147303468509,0.8083792430111632,11544.0,0.9544419134396356,0.9621519216813283,0.5535214848715992,0.7063731170336038,0.0444202178656486,878.0,0.0230369567871093,0.0814940929412841,2026-04-22T07:17:39.706364+00:00
NR-AR,estate,RandomForest,random_under,pr_auc,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 10, 'n_estimators': 100}",0.5777796912271189,1421,0.9802955665024632,0.9776343355415889,0.7535919540229885,0.8712701140446806,0.5777796912271189,0.8541666666666666,0.8480392156862745,0.8235294117647058,0.8982282366071428,0.8644611851867069,672.0,0.940774487471526,0.9545819868384666,0.5364120060111287,0.6566241792197759,0.1127269501178584,878.0,0.1329138278961181,0.1072258949279785,2026-04-21T16:08:36.741706+00:00
NR-AR,estate,DecisionTree,smote,pr_auc,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10}",0.518339502117123,1421,0.983814215341309,0.9806685337101376,0.7788955262249944,0.8108010467114513,0.518339502117123,0.8666839916839917,0.8663500984386585,0.8663500984386585,0.9131489707763096,0.8999612503221843,11544.0,0.9168564920273348,0.9417655332550108,0.5275916712732633,0.7158362302047122,0.0518166674644706,878.0,0.0331661701202392,0.041144847869873,2026-04-22T07:17:41.234158+00:00
NR-AR,estate,DecisionTree,smoteenn,pr_auc,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10}",0.518339502117123,1421,0.983814215341309,0.9806685337101376,0.7788955262249944,0.8108010467114513,0.518339502117123,0.8711511546536039,0.8708363531875034,0.8707673556058922,0.9161962434709784,0.9013438671295289,11432.0,0.9168564920273348,0.9417655332550108,0.5275916712732633,0.7158362302047122,0.0518166674644706,878.0,0.0375900268554687,0.0342271327972412,2026-04-22T07:17:42.023817+00:00
NR-AR,estate,RandomForest,smoten,pr_auc,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 20, 'n_estimators': 200}",0.4155329226791392,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.5503436962974535,0.4155329226791392,0.8694559944559944,0.8680227585987628,0.8680227585987627,0.9728613898962132,0.9736703231889322,11544.0,0.969248291571754,0.9697353733303088,0.5566900420757364,0.5795287755890305,0.1317568048970688,878.0,0.5749258995056152,0.4609999656677246,2026-04-21T16:08:49.970087+00:00
NR-AR,estate,RandomForest,smoten_enn,pr_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.4125882018668478,1421,0.9824067558057706,0.977997421421252,0.740422484783387,0.5610549132947977,0.4125882018668478,0.8969627405968568,0.8961316458865722,0.8959323294434017,0.9820164354959098,0.9800385165848124,11326.0,0.9703872437357632,0.9703872437357632,0.5591348010814987,0.6295094631131711,0.117482106385523,878.0,0.2404799461364746,0.2733631134033203,2026-04-21T16:08:54.954493+00:00
