target,fingerprint,model,resampling,optimized_for,best_params,val_selection,val_n,val_accuracy,val_f1_weighted,val_f1_macro,val_roc_auc,val_pr_auc,final_train_accuracy,final_train_f1_weighted,final_train_f1_macro,final_train_roc_auc,final_train_pr_auc,final_train_n,final_test_accuracy,final_test_f1_weighted,final_test_f1_macro,final_test_roc_auc,final_test_pr_auc,final_test_n,training_time,refit_time,run_date
NR-AR,atom_pair,BalancedRandomForest,none,roc_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",0.6268417696446029,1421,0.983814215341309,0.9806685337101376,0.7788955262249944,0.8815419465708483,0.6268417696446029,0.9359573048699132,0.9461122234285688,0.6990092051679457,0.9035893723393722,0.6550265091997354,5996.0,0.9533029612756264,0.961515914801506,0.5518344683341011,0.6463499420625725,0.1674393523369569,878.0,1.2416489124298096,1.2512390613555908,2026-04-21T21:46:48.739886+00:00
NR-AR,atom_pair,RandomForest,random_over,roc_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.529720070799496,1421,0.983814215341309,0.9802311712809514,0.7703894169634891,0.8372715200749884,0.529720070799496,0.838011088011088,0.8347814546788762,0.8347814546788761,0.9492283043478468,0.960968808474619,11544.0,0.9669703872437356,0.9692816650351802,0.577288951606209,0.6595596755504056,0.1196053461761999,878.0,0.9893288612365724,1.241645097732544,2026-04-21T16:05:07.905610+00:00
NR-AR,atom_pair,RandomForest,random_under,roc_auc,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",0.5860031354190323,1421,0.9824067558057706,0.978987536641454,0.7596690502445591,0.8897437900328075,0.5860031354190323,0.8854166666666666,0.8800380171671269,0.8602869108081619,0.9375398596938777,0.9238410205769269,672.0,0.9441913439635536,0.9564650129064202,0.5401421623643846,0.6750869061413672,0.1309702625562054,878.0,0.2422990798950195,0.1411292552947998,2026-04-21T16:05:07.905306+00:00
NR-AR,atom_pair,DecisionTree,smote,roc_auc,"{'ccp_alpha': 0.001, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_leaf': 10}",0.1257136172010712,1421,0.7508796622097115,0.8357266700555255,0.4670527359641985,0.7142536322449617,0.1257136172010712,0.928967428967429,0.928772440329176,0.928772440329176,0.985515676199148,0.9803031254559392,11544.0,0.8519362186788155,0.904793483241605,0.4819353667392883,0.6095017381228274,0.0550779306475189,878.0,1.830373764038086,1.950470209121704,2026-04-22T07:14:55.474580+00:00
NR-AR,atom_pair,LogisticRegression,smoteenn,roc_auc,"{'C': 0.001, 'l1_ratio': 1.0}",0.4111747215195491,1421,0.9627023223082336,0.9650412954945964,0.6786233971281657,0.7084635213247931,0.4111747215195491,0.7599339187896704,0.756505827879732,0.7563960677091235,0.7859940465325349,0.7847910574740682,11501.0,0.8963553530751709,0.9300572691445677,0.5035016747139937,0.5587485515643106,0.0285949621999934,878.0,0.4716589450836181,0.2902898788452148,2026-04-21T08:28:35.634476+00:00
NR-AR,atom_pair,DecisionTree,smoten,roc_auc,"{'ccp_alpha': 0.001, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_leaf': 10}",0.2387120895111447,1421,0.8866995073891626,0.9181197485207182,0.5298347503169974,0.736291204499297,0.2387120895111447,0.9724532224532224,0.9724506292587172,0.9724506292587172,0.993809578009162,0.9939477359504404,11544.0,0.938496583143508,0.9517303775004082,0.4841363102232667,0.5763229045963693,0.0272667991526191,878.0,1.4962801933288574,1.387189865112305,2026-04-22T07:15:12.511195+00:00
NR-AR,atom_pair,DecisionTree,smoten_enn,roc_auc,"{'ccp_alpha': 0.001, 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 10}",0.0903945483686766,1421,0.9310344827586208,0.9429883370860423,0.5596111518708731,0.721000624902359,0.0903945483686766,0.978890439637125,0.978890532159431,0.9788896069363712,0.9943064703034836,0.9906156108683288,11464.0,0.9441913439635536,0.9564650129064202,0.5401421623643846,0.7645036693704133,0.0540740555018853,878.0,1.8810031414031985,2.3269450664520264,2026-04-22T07:16:30.383221+00:00
NR-AR,avalon,BernoulliNB,none,roc_auc,{'alpha': 50.0},0.5192392702717485,1421,0.984517945109078,0.982750660937669,0.8127126767313684,0.877362912044993,0.5192392702717485,0.7886924616410941,0.8528942309091021,0.5379592920064418,0.7833448575636075,0.1218237845779205,5996.0,0.7380410022779044,0.8344427828516829,0.4488356605565684,0.5596755504055619,0.0236955889207535,878.0,0.009005069732666,0.0051660537719726,2026-04-21T14:01:12.359505+00:00
NR-AR,avalon,BernoulliNB,random_over,roc_auc,{'alpha': 50.0},0.5923042998401332,1421,0.984517945109078,0.982750660937669,0.8127126767313684,0.8613204967973754,0.5923042998401332,0.7542446292446292,0.7524201032711554,0.7524201032711554,0.8029831866890079,0.7942776531457922,11544.0,0.7961275626423691,0.8715401880714937,0.4693395191161624,0.562108922363847,0.0289630449695393,878.0,0.0630099773406982,0.0742349624633789,2026-04-21T14:01:12.933684+00:00
NR-AR,avalon,BernoulliNB,random_under,roc_auc,{'alpha': 50.0},0.5643552966372632,1421,0.984517945109078,0.982750660937669,0.8127126767313684,0.8718266677081705,0.5643552966372632,0.7886904761904762,0.7886904761904762,0.7622767857142857,0.8064911511479592,0.6794557008657359,672.0,0.7608200455580866,0.8492809780018767,0.4585785263751365,0.5586326767091541,0.0262467656611839,878.0,0.011693000793457,0.0012347698211669,2026-04-21T14:01:14.168165+00:00
NR-AR,avalon,BernoulliNB,smote,roc_auc,{'alpha': 50.0},0.4860269921057477,1421,0.9831104855735396,0.9800433770368254,0.7734736170891121,0.7573133104202467,0.4860269921057477,0.7813582813582813,0.7764179175943882,0.7764179175943882,0.7897321898101524,0.819944336549784,11544.0,0.9271070615034168,0.9470689304426608,0.5238773089306897,0.5798764001544998,0.0351351216725961,878.0,0.0778658390045166,0.0627620220184326,2026-04-21T14:01:14.589050+00:00
NR-AR,avalon,BernoulliNB,smoteenn,roc_auc,{'alpha': 50.0},0.4914675681744822,1421,0.983814215341309,0.9806685337101376,0.7788955262249944,0.763113185439775,0.4914675681744822,0.790198141329125,0.7856576412653457,0.7852638078217242,0.7953514001836686,0.8224234647375817,11406.0,0.9271070615034168,0.9470689304426608,0.5238773089306897,0.579837775202781,0.0347698827312256,878.0,0.059838056564331,0.0477781295776367,2026-04-21T14:01:23.621257+00:00
NR-AR,avalon,DecisionTree,smoten,roc_auc,"{'ccp_alpha': 0.001, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_leaf': 50}",0.2270907667530593,1421,0.9155524278676987,0.934426554000451,0.5492227979274611,0.7291536478675207,0.2270907667530593,0.9571205821205822,0.957117168264024,0.957117168264024,0.9896976328239324,0.9900325792629006,11544.0,0.9396355353075172,0.9529111364089852,0.5026027470471914,0.6314407106991116,0.0291690243325732,878.0,0.3725800514221191,0.2698791027069092,2026-04-22T07:16:58.489536+00:00
NR-AR,avalon,DecisionTree,smoten_enn,roc_auc,"{'ccp_alpha': 0.001, 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 10}",0.344168387490154,1421,0.9676284306826178,0.9657131623032164,0.6432298489214916,0.770143336978597,0.344168387490154,0.9822769338222456,0.9822749939572673,0.9822760031355796,0.9928603518228648,0.9867120165927804,11454.0,0.9635535307517084,0.9656551103134736,0.5201202432192389,0.671687910390112,0.047359741705139,878.0,0.3538970947265625,0.3246450424194336,2026-04-22T07:17:01.712390+00:00
NR-AR,erg,RUSBoost,none,roc_auc,"{'learning_rate': 0.03, 'n_estimators': 50, 'sampling_strategy': 'auto'}",0.5883109996718379,1421,0.9831104855735396,0.98045065985401,0.7814070351758794,0.8726761443524449,0.5883109996718379,0.95263509006004,0.958318657507002,0.7508684456928838,0.920773623898624,0.7077630642755413,5996.0,0.9624145785876992,0.9673359890256292,0.5879399843561118,0.6735805330243337,0.081524924643256,878.0,0.6011238098144531,0.4982380867004394,2026-04-29T18:00:31.293494+00:00
NR-AR,erg,RandomForest,random_over,roc_auc,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 20, 'n_estimators': 200}",0.4815180238741684,1421,0.9817030260380014,0.9779046509222896,0.7453405017921146,0.8195594438369005,0.4815180238741684,0.8413028413028413,0.8384728864661095,0.8384728864661095,0.9204426319810936,0.9409638521185612,11544.0,0.9635535307517084,0.966527167099292,0.5462532299741601,0.6497875627655465,0.0714089600841534,878.0,0.5767130851745605,0.7071459293365479,2026-04-21T16:07:40.099147+00:00
NR-AR,erg,RandomForest,random_under,roc_auc,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 10, 'n_estimators': 100}",0.564948420114504,1421,0.9809992962702322,0.9782238493705764,0.7583104979684399,0.8612130917044213,0.564948420114504,0.8705357142857143,0.8641956583562423,0.8416532372736752,0.893798828125,0.8760605707755522,672.0,0.9305239179954442,0.9493553902369306,0.5398915835502521,0.5893008883738896,0.0819889513316935,878.0,0.1721119880676269,0.1588289737701416,2026-04-21T16:07:44.738730+00:00
NR-AR,erg,RandomForest,smote,roc_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.4915128574434106,1421,0.9817030260380014,0.976832728253348,0.7245138391791935,0.8206334947664429,0.4915128574434106,0.8913721413721414,0.890324980798771,0.8903249807987711,0.9527206070215426,0.9664211738269126,11544.0,0.9726651480637812,0.9717047221318292,0.564484126984127,0.6848590189262262,0.1093947810655556,878.0,0.5356500148773193,0.4466218948364258,2026-04-21T16:07:57.470514+00:00
NR-AR,erg,RandomForest,smoteenn,roc_auc,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.5026395285443193,1421,0.9817030260380014,0.976832728253348,0.7245138391791935,0.8392243399468834,0.5026395285443193,0.9047661154832436,0.9039266340828858,0.9037178741579291,0.9639526215063507,0.9722205466510586,11309.0,0.9715261958997722,0.971043511961488,0.5617275322963879,0.6850907686365392,0.0922084259614137,878.0,0.4254059791564941,0.2995986938476562,2026-04-21T16:07:59.117214+00:00
