target,model,finger_print_method,optimized_for,metric,metric_type,metric_value,n_samples,n_correct,n_incorrect,parameters,resampling
NR-AR,BalancedRandomForest,atom_pair,accuracy,selection,val,0.6062871525026643,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,n,val,1421.0,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,accuracy,val,0.983814215341309,1421.0,1398.0,23.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,f1_weighted,val,0.9806685337101376,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,f1_macro,val,0.7788955262249944,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,roc_auc,val,0.8716606780190593,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,pr_auc,val,0.6062871525026643,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,accuracy,train,0.9366244162775184,5996.0,5616.0,380.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,f1_weighted,train,0.9465599759871324,5996.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,f1_macro,train,0.700477452465085,5996.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,roc_auc,train,0.904669092169092,5996.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,pr_auc,train,0.6548823552776815,5996.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,n,train,5996.0,5996.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,accuracy,test,0.9510250569476082,878.0,835.0,43.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,f1_weighted,test,0.960247637773478,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,f1_macro,test,0.5486292935451861,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,roc_auc,test,0.6453456933178833,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,pr_auc,test,0.1736307881763182,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,BalancedRandomForest,atom_pair,accuracy,n,test,878.0,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",none
NR-AR,RandomForest,atom_pair,accuracy,selection,val,0.5086572165206275,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,n,val,1421.0,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,accuracy,val,0.983814215341309,1421.0,1398.0,23.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,val,0.9802311712809514,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,val,0.7703894169634891,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,val,0.8198328386189657,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,val,0.5086572165206275,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,accuracy,train,0.8431219681219682,11544.0,9733.0,1811.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,train,0.8400922326055461,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,train,0.8400922326055462,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,train,0.9519878656443106,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,train,0.9634162284631737,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,n,train,11544.0,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,accuracy,test,0.969248291571754,878.0,851.0,27.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,test,0.9706193248446852,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,test,0.5830739196960903,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,test,0.666821166473542,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,test,0.0998864745557417,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,n,test,878.0,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",random_over
NR-AR,RandomForest,atom_pair,accuracy,selection,val,0.6224422360780315,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,n,val,1421.0,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,accuracy,val,0.984517945109078,1421.0,1398.9999999999998,22.000000000000227,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,val,0.9817064289504231,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,val,0.7923508156650194,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,val,0.8789056397437902,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,val,0.6224422360780315,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,accuracy,train,0.8511904761904762,672.0,572.0,100.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,train,0.844937975190076,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,train,0.8199279711884755,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,train,0.8947903380102041,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,train,0.867348961178578,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,n,train,672.0,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,accuracy,test,0.9259681093394078,878.0,813.0,65.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,test,0.9464428296661268,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,test,0.5229656872988674,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,test,0.6373117033603709,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
